audience_id,audience_name,audience_type,type,category,parent,source,updated_at
"30002","High School Graduate","EXTENDED_DEMOGRAPHIC","extended_demographic","Education","Highest Level of Educational Attainment","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30004","Bachelor's Degree","EXTENDED_DEMOGRAPHIC","extended_demographic","Education","Highest Level of Educational Attainment","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30005","Advanced Degree","EXTENDED_DEMOGRAPHIC","extended_demographic","Education","Highest Level of Educational Attainment","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30007","Homeowners","EXTENDED_DEMOGRAPHIC","extended_demographic","Homeownership Status","Homeownership Status","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30008","Renters","EXTENDED_DEMOGRAPHIC","extended_demographic","Homeownership Status","Homeownership Status","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30010","Parents of Infants (0-1 years)","EXTENDED_DEMOGRAPHIC","extended_demographic","Parental Status","Parents","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30011","Parents of Toddlers (1-3 years)","EXTENDED_DEMOGRAPHIC","extended_demographic","Parental Status","Parents","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30012","Parents of Preschoolers (4-5 years)","EXTENDED_DEMOGRAPHIC","extended_demographic","Parental Status","Parents","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30013","Parents of Grade-Schoolers (6-12 years)","EXTENDED_DEMOGRAPHIC","extended_demographic","Parental Status","Parents","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30014","Parents of Teens (13-17 years)","EXTENDED_DEMOGRAPHIC","extended_demographic","Parental Status","Parents","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30016","Married","EXTENDED_DEMOGRAPHIC","extended_demographic","Marital Status","Marital Status","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30017","Single","EXTENDED_DEMOGRAPHIC","extended_demographic","Marital Status","Marital Status","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30022","Healthcare Industry","EXTENDED_DEMOGRAPHIC","extended_demographic","Employment","Industry","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30023","Technology Industry","EXTENDED_DEMOGRAPHIC","extended_demographic","Employment","Industry","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30024","Hospitality Industry","EXTENDED_DEMOGRAPHIC","extended_demographic","Employment","Industry","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30025","Education Sector","EXTENDED_DEMOGRAPHIC","extended_demographic","Employment","Industry","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30026","Manufacturing Industry","EXTENDED_DEMOGRAPHIC","extended_demographic","Employment","Industry","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30027","Construction Industry","EXTENDED_DEMOGRAPHIC","extended_demographic","Employment","Industry","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30028","Small Employer (1-249 Employees)","EXTENDED_DEMOGRAPHIC","extended_demographic","Employment","Company Size","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30030","Large Employer (250-10k Employees)","EXTENDED_DEMOGRAPHIC","extended_demographic","Employment","Company Size","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30031","Very Large Employer (10k+ Employees)","EXTENDED_DEMOGRAPHIC","extended_demographic","Employment","Company Size","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30032","Current College Students","EXTENDED_DEMOGRAPHIC","extended_demographic","Education","Education","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30037","In a Relationship","EXTENDED_DEMOGRAPHIC","extended_demographic","Marital Status","Marital Status","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30041","Financial Industry","EXTENDED_DEMOGRAPHIC","extended_demographic","Employment","Industry","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"30042","Real Estate Industry","EXTENDED_DEMOGRAPHIC","extended_demographic","Employment","Industry","https://developers.google.com/static/google-ads/api/data/tables/extended-demographics.csv","2026-08-09"
"80001","Autos & Vehicles","IN_MARKET","in_market","","","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80004","Off-Road Vehicles","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Type","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80006","Motorcycles","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Type","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80012","Hybrid & Alternative Vehicles","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Type","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80013","Motor Vehicles by Brand","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80014","Acura","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80015","Audi","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80016","BMW","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80017","Cadillac","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80018","Chevrolet","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80019","Chrysler","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80020","Citroën","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80021","Dodge","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80022","Fiat","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80023","Ford","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80024","GMC","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80025","Honda","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80026","Hyundai","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80027","Jeep","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80028","Kia","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
"80029","Lexus","IN_MARKET","in_market","Autos & Vehicles","Motor Vehicles by Brand","https://developers.google.com/static/google-ads/api/data/tables/in-market-categories.csv","2026-08-09"
